state label : ('a1', 'h0', 'p2'), and action : stop1
state label : ('a3', 'h1', 'p2'), and action : go1
state label : ('a3', 'h1', 'p4'), and action : stop1
state label : ('a3', 'h0', 'p2'), and action : go1
state label : ('a3', 'h0', 'p4'), and action : stop1
state label : ('a1', 'h0', 'p3'), and action : stop1
state label : ('a1', 'h0', 'p4'), and action : go1
state label : ('a5', 'h7', 'p7'), and action : go1
state label : ('a7', 'h5', 'p2'), and action : stop1
state label : ('a7', 'h5', 'p3'), and action : stop1
state label : ('a7', 'h5', 'p4'), and action : stop1
state label : ('a7', 'h3', 'p2'), and action : stop1
state label : ('a7', 'h3', 'p3'), and action : stop1
state label : ('a7', 'h3', 'p4'), and action : stop1
state label : ('a7', 'h5', 'p8'), and action : go1
state label : ('a7', 'h3', 'p8'), and action : go1
state label : ('a7', 'h5', 'p5'), and action : go1
state label : ('a7', 'h5', 'p6'), and action : go1
state label : ('a7', 'h3', 'p5'), and action : go1
state label : ('a7', 'h3', 'p6'), and action : go1
state label : ('a7', 'h1', 'p2'), and action : stop1
state label : ('a7', 'h1', 'p3'), and action : stop1
state label : ('a7', 'h1', 'p4'), and action : stop1
state label : ('a7', 'h1', 'p8'), and action : go1
state label : ('a7', 'h1', 'p5'), and action : go1
state label : ('a7', 'h1', 'p6'), and action : go1
state label : ('a3', 'h5', 'p2'), and action : go1
state label : ('a3', 'h5', 'p4'), and action : go1
state label : ('a3', 'h5', 'p8'), and action : go1
state label : ('a3', 'h5', 'p5'), and action : go1
state label : ('a3', 'h5', 'p6'), and action : go1
state label : ('a5', 'h3', 'p7'), and action : go1
state label : ('a5', 'h1', 'p7'), and action : go1
state label : ('a3', 'h5', 'p7'), and action : go1
state label : ('a3', 'h1', 'p7'), and action : go1
state label : ('a7', 'h0', 'p2'), and action : stop1
state label : ('a7', 'h0', 'p3'), and action : stop1
state label : ('a7', 'h0', 'p4'), and action : stop1
state label : ('a7', 'h0', 'p8'), and action : go1
state label : ('a7', 'h0', 'p5'), and action : go1
state label : ('a7', 'h0', 'p6'), and action : go1
state label : ('a5', 'h0', 'p7'), and action : go1
state label : ('a3', 'h0', 'p7'), and action : go1
state label : ('a1', 'h5', 'p2'), and action : go1
